incidentid,IncidentVersNumber,IncidentTypeDesc,AgencyORI,AgencyNameTxt,CityCde,CityName,CountyCde,COUNTYNAMETXT,StateCde,IncidentDte,IncidentTime,IncidentEndDte,IncidentEndTime,LocalCodeCaseNumber,SecondaryReportID,IncidentOwnerUserID,EntryDte,SupplementDte,ReviewDte,IncidentDescription,LastModifiedDte,BeatPostNumber,TimeReceived,TimeDispatched,TimeArrived,TimeCleared,HowReportedDesc,ReportedDte,CreatedByBadgeNumber
18837918,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/3/2017 06:10,610,1/3/2017 06:16,616,17-248,,,1/4/2017 07:01,,,,1/4/2017 06:24,,616,616,616,715,IN VIEW,1/3/2017 00:00,322
18843510,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/1/2017 15:00,1500,,,17-79,,3526,1/1/2017 15:22,,1/4/2017 22:42,,1/4/2017 22:42,,1507,1511,1511,1600,PHONE,1/1/2017 00:00,321
18843515,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/2/2017 23:30,2330,1/3/2017 15:00,1500,17-305,,2948,1/3/2017 17:27,,1/4/2017 22:40,,1/4/2017 22:40,,1554,1607,1611,1630,IN PERSON,1/3/2017 00:00,300
18843517,3,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/3/2017 17:35,1735,,,17-314,,2948,1/3/2017 19:18,,1/4/2017 22:39,,1/4/2017 22:39,,1735,1738,1744,1820,IN PERSON,1/3/2017 00:00,300
18843520,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/4/2017 16:44,1644,,,17-470,,3526,1/4/2017 18:57,,1/4/2017 22:40,,1/4/2017 22:40,,1644,1737,1741,1830,IN PERSON,1/4/2017 00:00,321
18843812,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/3/2017 17:20,1720,1/3/2017 17:20,1720,17-312,,,1/5/2017 01:01,,,,1/5/2017 00:57,,1725,1728,1728,1754,IN PERSON,1/3/2017 00:00,333
18848365,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/4/2017 12:27,1227,1/4/2017 13:30,1330,17-426,,,1/5/2017 17:07,,,,1/5/2017 16:31,,1227,1229,1231,1330,IN PERSON,1/4/2017 00:00,265
18848366,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/3/2017 13:30,1330,1/4/2017 14:00,1400,17-440,,,1/5/2017 17:07,,,,1/5/2017 16:31,,1330,1330,1330,1400,IN PERSON,1/4/2017 00:00,265
18850047,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/6/2017 00:30,30,1/6/2017 00:50,50,17-643,,,1/6/2017 06:00,,,,1/6/2017 05:24,,54,55,57,116,IN PERSON,1/6/2017 00:00,347
18854098,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/5/2017 12:00,1200,1/5/2017 14:00,1400,17-548,,,1/6/2017 17:06,,,,1/6/2017 16:02,,1410,1417,1417,1500,IN PERSON,1/5/2017 00:00,304
18854099,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/6/2017 09:50,950,1/6/2017 09:55,955,17-671,,,1/6/2017 17:06,,,,1/6/2017 16:02,,953,954,955,1130,IN PERSON,1/6/2017 00:00,257
18854729,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/6/2017 19:15,1915,,,16-745,,3112,1/6/2017 21:21,,1/6/2017 21:48,,1/6/2017 21:48,,1931,1932,1936,2020,IN PERSON,1/6/2017 00:00,332
18854887,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/5/2017 14:37,1437,1/5/2017 15:11,1511,17-550,,,1/6/2017 23:04,,,,1/6/2017 22:28,,1438,1438,1438,1535,IN PERSON,1/5/2017 00:00,344
18854888,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/6/2017 15:00,1500,1/6/2017 15:40,1540,17-709,,,1/6/2017 23:04,,,,1/6/2017 22:28,,1539,1546,1550,1830,OTHER AGENCY,1/6/2017 00:00,336
18857142,4,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/2/2017 18:18,1818,,,17-209,,3526,1/2/2017 19:47,,1/7/2017 20:17,,1/7/2017 20:17,,1818,1820,1823,1847,IN PERSON,1/2/2017 00:00,321
18857144,6,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/4/2017 19:00,1900,1/4/2017 19:37,1937,17-480,,3112,1/4/2017 21:56,,1/7/2017 20:19,,1/7/2017 20:19,,1937,1937,1940,2045,IN PERSON,1/4/2017 00:00,332
18857215,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/3/2017 20:52,2052,1/3/2017 20:52,2052,17-331,,,1/7/2017 21:01,,,,1/7/2017 20:24,,2016,2016,2016,2054,IN PERSON,1/3/2017 00:00,333
18857218,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/6/2017 21:00,2100,1/6/2017 21:45,2145,17-757,,,1/7/2017 21:01,,,,1/7/2017 20:25,,2106,2106,2106,2145,BY INVESTIGATION,1/6/2017 00:00,336
18857413,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/6/2017 21:39,2139,1/6/2017 22:30,2230,17-768,,,1/7/2017 23:01,,,,1/7/2017 22:24,,2139,2149,2209,2250,IN PERSON,1/6/2017 00:00,339
18858338,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/7/2017 22:13,2213,1/7/2017 22:15,2215,17-921,,,1/8/2017 06:01,,,,1/8/2017 05:24,,2256,2331,2338,2353,IN PERSON,1/7/2017 00:00,347
18859625,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/8/2017 06:00,600,1/8/2017 06:30,630,17-951,,,1/8/2017 20:05,,,,1/8/2017 19:29,,636,638,641,806,PHONE,1/8/2017 00:00,352
18860116,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/7/2017 17:34,1734,1/7/2017 17:49,1749,17-872,17-877,3530,1/7/2017 21:50,,1/8/2017 22:30,,1/8/2017 22:30,,1734,1734,1734,1817,IN PERSON,1/7/2017 00:00,329
18860120,3,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/6/2017 18:00,1800,1/6/2017 18:19,1819,17-733,,,1/7/2017 21:01,1/8/2017 15:52,1/8/2017 22:30,,1/8/2017 22:30,,1810,1812,1819,1905,IN PERSON,1/6/2017 00:00,339
18860123,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/8/2017 19:21,1921,,,17-1006,,2948,1/8/2017 20:46,,1/8/2017 22:29,,1/8/2017 22:29,,1837,1837,1837,1946,BY INVESTIGATION,1/8/2017 00:00,300
18865510,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/2/2017 03:00,300,1/3/2017 09:21,921,17-268,,,1/9/2017 16:02,,,,1/9/2017 15:25,,921,921,923,938,IN PERSON,1/3/2017 00:00,183
18867090,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/9/2017 15:20,1520,1/9/2017 16:20,1620,17-1130,,,1/9/2017 23:01,,,,1/9/2017 22:24,,1520,1520,1520,1620,BY INVESTIGATION,1/9/2017 00:00,342
18873101,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/10/2017 16:34,1634,1/10/2017 16:38,1638,17-1297,,3530,1/10/2017 19:07,,1/10/2017 22:07,,1/10/2017 22:07,,1634,1634,1634,1705,IN PERSON,1/10/2017 00:00,329
18873207,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/9/2017 19:45,1945,1/9/2017 19:46,1946,17-1172,,,1/10/2017 23:00,,,,1/10/2017 22:24,,1946,1951,1958,2017,IN PERSON,1/9/2017 00:00,348
18873208,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/9/2017 20:30,2030,1/9/2017 20:40,2040,17-1184,,,1/10/2017 23:00,,,,1/10/2017 22:24,,2036,2037,2037,2104,IN PERSON,1/9/2017 00:00,348
18873209,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/10/2017 14:50,1450,1/10/2017 15:00,1500,17-1281,,,1/10/2017 23:00,,,,1/10/2017 22:24,,1450,1452,1452,1630,BY INVESTIGATION,1/10/2017 00:00,336
18873211,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/10/2017 17:00,1700,1/10/2017 20:24,2024,17-1333,,,1/10/2017 23:01,,,,1/10/2017 22:54,,1943,1949,1958,2024,IN PERSON,1/10/2017 00:00,348
18873213,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/8/2017 17:00,1700,1/8/2017 17:25,1725,17-998,,,1/10/2017 23:01,,,,1/10/2017 22:54,,1716,1717,1721,1755,IN PERSON,1/8/2017 00:00,348
18873313,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/7/2017 01:15,115,1/7/2017 01:45,145,17-793,,,1/11/2017 00:01,,,,1/10/2017 23:54,,119,119,119,146,IN PERSON,1/7/2017 00:00,340
18873975,4,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/1/2017 02:10,210,1/1/2017 02:45,245,17-30,,3112,1/1/2017 04:33,,1/11/2017 06:35,,1/11/2017 06:35,,210,210,210,400,BY INVESTIGATION,1/1/2017 00:00,332
18877067,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/10/2017 17:00,1700,1/11/2017 08:30,830,17-1389,,,1/11/2017 14:04,,,,1/11/2017 13:26,,846,847,900,930,IN PERSON,1/11/2017 00:00,220
18885854,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/9/2017 09:45,945,1/9/2017 10:30,1030,17-1091,,,1/12/2017 17:03,,,,1/12/2017 16:54,,945,945,950,1030,IN PERSON,1/9/2017 00:00,265
18885855,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/11/2017 08:30,830,1/11/2017 09:00,900,17-1404,,,1/12/2017 17:03,,,,1/12/2017 16:54,,1032,1122,1140,1330,IN PERSON,1/11/2017 00:00,220
18885869,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/3/2017 07:00,700,1/3/2017 10:00,1000,17-1527,,,1/12/2017 17:04,,,,1/12/2017 16:54,,1000,1000,1000,1030,PHONE,1/12/2017 00:00,230
18885871,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/11/2017 02:20,220,1/11/2017 02:40,240,17-1543,,,1/12/2017 17:04,,,,1/12/2017 16:55,,1308,1309,1315,1345,PHONE,1/12/2017 00:00,352
18886818,3,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/12/2017 15:15,1515,,,17-1560,,3531,1/12/2017 17:12,,1/12/2017 22:20,,1/12/2017 22:20,,1521,1527,1527,1608,IN PERSON,1/12/2017 00:00,333
18886821,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/12/2017 17:47,1747,,,17-1587,,2948,1/12/2017 19:20,,1/12/2017 22:18,,1/12/2017 22:18,,1747,1748,1752,1830,IN PERSON,1/12/2017 00:00,300
18888020,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/12/2017 23:10,2310,1/12/2017 23:20,2320,17-1620,,,1/13/2017 08:01,,,,1/13/2017 07:24,,2344,2346,3,120,IN PERSON,1/12/2017 00:00,272
18888280,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/13/2017 01:13,113,1/13/2017 02:00,200,17-1631,,,1/13/2017 08:01,,,,1/13/2017 07:24,,113,113,113,145,IN PERSON,1/13/2017 00:00,340
18890423,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/3/2017 10:00,1000,1/3/2017 12:00,1200,17-243,,3515,1/4/2017 14:40,,1/13/2017 11:53,,1/13/2017 11:53,,1000,1000,1000,1200,IN PERSON,1/3/2017 00:00,301
18892629,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/13/2017 10:00,1000,1/13/2017 10:25,1025,17-1678,,,1/13/2017 17:07,,,,1/13/2017 16:33,,1027,1058,1058,1128,PHONE,1/13/2017 00:00,352
18893756,3,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/10/2017 15:00,1500,,,17-1286,,3531,1/10/2017 16:28,,1/13/2017 22:16,,1/13/2017 22:16,,1517,1524,1529,1603,IN PERSON,1/10/2017 00:00,333
18893873,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/12/2017 18:00,1800,1/12/2017 18:30,1830,17-1593,,,1/13/2017 23:01,,,,1/13/2017 22:54,,1830,1831,1835,2030,IN PERSON,1/12/2017 00:00,284
18893964,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/13/2017 02:28,228,,,17-1641,,3526,1/13/2017 03:56,,1/13/2017 23:35,,1/13/2017 23:35,,228,229,231,330,IN PERSON,1/13/2017 00:00,321
18894819,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/13/2017 03:00,300,1/13/2017 04:55,455,17-1646,,,1/14/2017 07:01,,,,1/14/2017 06:25,,450,441,454,610,IN PERSON,1/13/2017 00:00,341
18894820,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/13/2017 13:30,1330,1/13/2017 14:00,1400,17-1700,,,1/14/2017 07:01,,,,1/14/2017 06:25,,1347,1351,1437,1600,IN PERSON,1/13/2017 00:00,226
18894821,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/13/2017 14:28,1428,1/13/2017 22:09,2209,17-1735,,,1/14/2017 07:01,,,,1/14/2017 06:25,,1713,1713,1713,1818,IN PERSON,1/13/2017 00:00,338
18894822,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/13/2017 00:50,50,1/14/2017 01:27,127,17-1797,,,1/14/2017 07:01,,,,1/14/2017 06:25,,50,50,50,127,IN PERSON,1/13/2017 00:00,338
18897971,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/15/2017 01:16,116,1/15/2017 20:04,2004,17-1933,,,1/15/2017 07:01,,,,1/15/2017 06:24,,116,119,140,2004,IN PERSON,1/15/2017 00:00,338
18897972,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/15/2017 02:00,200,1/15/2017 02:45,245,17-1949,,,1/15/2017 07:01,,,,1/15/2017 06:24,,300,300,300,,IN PERSON,1/15/2017 00:00,311
18897975,4,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/7/2017 12:30,1230,,,17-838,,3533,1/7/2017 15:02,,1/15/2017 06:56,,1/15/2017 06:56,,1234,1241,1249,1315,PHONE,1/7/2017 00:00,337
18897976,4,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/7/2017 11:30,1130,,,17-834,,3533,1/7/2017 14:40,,1/15/2017 06:57,,1/15/2017 06:57,,1132,1133,1137,1202,PHONE,1/7/2017 00:00,337
18897981,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/11/2017 12:00,1200,,,17-1400,,3533,1/11/2017 17:06,,1/15/2017 06:56,,1/15/2017 06:56,,1252,1255,1300,1502,PHONE,1/11/2017 00:00,337
18899894,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/14/2017 15:00,1500,1/14/2017 17:21,1721,17-1877,,3535,1/14/2017 18:56,,1/15/2017 21:46,,1/15/2017 21:46,,1652,1703,1721,1735,IN PERSON,1/14/2017 00:00,339
18899896,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/14/2017 18:30,1830,,,17-1890,,3112,1/14/2017 20:17,,1/15/2017 21:46,,1/15/2017 21:46,,1837,1840,1842,1910,IN PERSON,1/14/2017 00:00,332
18900329,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/15/2017 04:45,445,1/15/2017 05:00,500,17-1955,,,1/16/2017 01:00,,,,1/16/2017 00:53,,522,525,532,623,IN PERSON,1/15/2017 00:00,347
18900419,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/15/2017 00:07,7,,,17-1923,,3526,1/15/2017 01:34,,1/16/2017 01:43,,1/16/2017 01:43,,7,11,11,27,IN PERSON,1/15/2017 00:00,321
18900626,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/15/2017 23:35,2335,1/15/2017 23:37,2337,17-2062,,,1/16/2017 05:01,,,,1/16/2017 04:24,,2337,2341,2346,46,PHONE,1/16/2017 00:00,350
18902538,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/1/2017 13:00,1300,1/16/2017 10:15,1015,17-2094,,,1/16/2017 15:00,,,,1/16/2017 14:24,,947,947,947,1015,IN PERSON,1/16/2017 00:00,265
18904383,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/12/2017 20:25,2025,,,17-1607,,3522,1/12/2017 22:30,,1/16/2017 22:56,,1/16/2017 22:56,,2035,2050,2050,2139,IN PERSON,1/12/2017 00:00,314
18904998,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/16/2017 00:44,44,1/16/2017 01:31,131,17-2072,,,1/17/2017 03:01,,,,1/17/2017 02:24,,44,110,115,131,IN PERSON,1/16/2017 00:00,338
18909740,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/9/2017 18:30,1830,1/10/2017 14:30,1430,17-1259,,,1/17/2017 17:13,,,,1/17/2017 16:31,,1104,1104,1110,,IN PERSON,1/10/2017 00:00,265
18909741,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/10/2017 23:00,2300,1/11/2017 14:00,1400,17-1427,,,1/17/2017 17:13,,,,1/17/2017 16:31,,1244,1350,1350,1400,IN PERSON,1/10/2017 00:00,265
18909742,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/2/2017 11:18,1118,1/2/2017 12:00,1200,17-168,,,1/17/2017 17:14,,,,1/17/2017 16:31,,1118,1118,1125,1200,IN PERSON,1/2/2017 00:00,265
18909743,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/17/2017 06:30,630,1/17/2017 06:44,644,17-2183,,,1/17/2017 17:14,,,,1/17/2017 16:31,,644,644,648,748,IN PERSON,1/17/2017 00:00,183
18909744,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/3/2017 08:19,819,1/3/2017 10:30,1030,17-267,,,1/17/2017 17:14,,,,1/17/2017 16:31,,819,924,935,1030,IN PERSON,1/3/2017 00:00,265
18911154,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/17/2017 19:20,1920,,,17-2311,,3531,1/17/2017 22:25,,1/17/2017 22:48,,1/17/2017 22:48,,1926,1926,1926,2120,IN PERSON,1/17/2017 00:00,333
18911740,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/17/2017 01:44,144,1/17/2017 01:52,152,17-2176,,,1/18/2017 02:01,,,,1/18/2017 01:23,,146,149,152,252,PHONE,1/17/2017 00:00,350
18912442,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/14/2017 00:01,1,1/16/2017 12:00,1200,17-2100,,,1/18/2017 08:02,,,,1/18/2017 07:55,,1121,1525,1545,1630,IN PERSON,1/16/2017 00:00,284
18916285,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/16/2017 12:00,1200,1/17/2017 12:00,1200,17-2237,,,1/18/2017 14:06,,,,1/18/2017 13:31,,1200,1200,1200,1230,IN PERSON,1/17/2017 00:00,230
18916287,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/18/2017 08:10,810,1/18/2017 09:00,900,17-2365,,,1/18/2017 14:06,,,,1/18/2017 13:31,,815,815,820,900,IN PERSON,1/18/2017 00:00,265
18923804,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/18/2017 12:45,1245,1/18/2017 13:12,1312,17-2399,,3498,1/18/2017 17:19,,1/19/2017 14:15,,1/19/2017 14:15,,1312,1318,1318,,IN PERSON,1/18/2017 00:00,228
18925541,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/17/2017 14:00,1400,,,17-2253,,3515,1/18/2017 14:04,,1/19/2017 16:44,,1/19/2017 16:44,,1400,1400,1400,1500,IN PERSON,1/17/2017 00:00,301
18926507,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/15/2017 15:30,1530,1/15/2017 15:35,1535,17-2036,,,1/19/2017 23:01,,,,1/19/2017 22:54,,2020,2026,2032,2046,IN PERSON,1/15/2017 00:00,343
18926846,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/19/2017 18:30,1830,1/19/2017 19:00,1900,17-2567,,,1/20/2017 01:01,,,,1/20/2017 00:54,,2106,2106,2106,2300,IN PERSON,1/19/2017 00:00,272
18929963,2,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/20/2017 01:00,100,1/20/2017 06:00,600,17-2616,,3501,1/20/2017 09:08,,1/20/2017 13:20,,1/20/2017 13:20,,733,735,749,830,IN PERSON,1/20/2017 00:00,236
18929967,4,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/19/2017 09:00,900,1/19/2017 09:00,900,17-2502,,3499,1/19/2017 11:57,,1/20/2017 13:21,,1/20/2017 13:21,,1000,1000,1000,1030,IN PERSON,1/19/2017 00:00,230
