incidentid,OffenseID,ASCFCde,ASCFDesc,BiasMotivation,BurglaryOnlyForceDesc,ClassCde,Counts,CourtOrderExists,CourtOrderTypeCde,CourtOrderStateCde,CourtOrderCountyCde,CourtOrderCountyName,CourtOrderNumber,DegreeCde,LocationTypeDesc,OnCampus,Premises,SchoolFunction,SchoolName,SchoolType,ViolationCde,ViolationDesc,LarcenyTypeCde,TitleChange,WarningsRun,OffenderIsEmployee,LocalOffenseDescription,LocalStatute,IsCityOrdinance,IsCountyOrdinance,CargoTheft
18848365,2857269,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,23935,TBUT OR DISP SHOPLIFTING U/$500,,FALSE,TRUE,FALSE,,,FALSE,FALSE,
18848366,2857270,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,23915,TBUT OR DISP ALL OTHERS U/$500,,FALSE,TRUE,FALSE,,,FALSE,FALSE,
18850047,2857681,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,Arrest,,,FALSE,,,795,ASSAULT 4TH DEGREE (NO VISIBLE INJURY),,FALSE,TRUE,,,,FALSE,FALSE,
18854098,2858526,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,822,TERRORISTIC THREATENING 3RD DEGREE,,FALSE,TRUE,,,,FALSE,FALSE,
18854099,2858527,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,23935,TBUT OR DISP SHOPLIFTING U/$500,,FALSE,TRUE,FALSE,,,FALSE,FALSE,
18854099,2858528,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,4800,VOLATILE SUBSTANCE ABUSE,,FALSE,TRUE,,,,FALSE,FALSE,
18854729,2858683,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,23935,TBUT OR DISP SHOPLIFTING U/$500,,,TRUE,FALSE,,,FALSE,FALSE,
18854887,2858840,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,42081,DRUG PARAPHERNALIA - BUY/POSSESS,,FALSE,TRUE,,,,FALSE,FALSE,
18854887,2858839,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,42330,POSS OF MARIJUANA,,FALSE,TRUE,,,,FALSE,FALSE,
18854887,2858838,0,Not Applicable,NONE (NO BIAS),,,1,FALSE,,,,,,V,,,,FALSE,,,425,IMPROPER DISPLAY OF REGISTRATION PLATES,,FALSE,TRUE,,,,FALSE,FALSE,
18854888,2858841,0,Not Applicable,NONE (NO BIAS),,D,1,FALSE,,,,,,F,Plot,,,FALSE,,,28032,RECEIVING STOLEN PROPERTY U/$10000,,FALSE,TRUE,,,,FALSE,FALSE,
18857142,2859304,0,Not Applicable,NONE (NO BIAS),,,1,FALSE,,,,,,V,,,,FALSE,,,2405,HARASSMENT ( NO PHYSICAL CONTACT),,,TRUE,,,,FALSE,FALSE,
18857144,2859305,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,798,ASSAULT 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,,,TRUE,,,,FALSE,FALSE,
18857215,2859321,0,Not Applicable,UNKNOWN (MOTIVATION NOT KNOWN),,B,1,FALSE,,,,,,M,,,,FALSE,,,42330,POSS OF MARIJUANA,,FALSE,TRUE,,,,FALSE,FALSE,
18857215,2859322,0,Not Applicable,UNKNOWN (MOTIVATION NOT KNOWN),,A,1,FALSE,,,,,,M,,,,FALSE,,,42081,DRUG PARAPHERNALIA - BUY/POSSESS,,FALSE,TRUE,,,,FALSE,FALSE,
18857218,2859327,0,Not Applicable,NONE (NO BIAS),,,1,FALSE,,,,,,V,,,,FALSE,,,226,ONE HEADLIGHT,,FALSE,TRUE,,,,FALSE,FALSE,
18857218,2859328,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,42330,POSS OF MARIJUANA,,FALSE,TRUE,,,,FALSE,FALSE,
18857218,2859329,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,42081,DRUG PARAPHERNALIA - BUY/POSSESS,,FALSE,TRUE,,,,FALSE,FALSE,
18857413,2859363,0,Not Applicable,NONE (NO BIAS),,B,1,TRUE,3,,,,,M,,,,FALSE,,,2634,ESCAPE 3RD DEGREE,,FALSE,TRUE,,,,FALSE,FALSE,
18858338,2859508,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,23935,TBUT OR DISP SHOPLIFTING U/$500,,FALSE,TRUE,FALSE,,,FALSE,FALSE,
18859625,2859856,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,795,ASSAULT 4TH DEGREE (NO VISIBLE INJURY),,FALSE,TRUE,,,,FALSE,FALSE,
18860116,2859924,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,480,FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC 1ST OFF,,,TRUE,,,,FALSE,FALSE,
18860116,2859923,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,403,OPERATING ON SUS OR REV OPER LICENSE,,,TRUE,,,,FALSE,FALSE,
18860116,2859925,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,42330,POSS OF MARIJUANA,,,TRUE,,,,FALSE,FALSE,
18860120,2859927,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,803,MENACING,,FALSE,TRUE,,,,FALSE,FALSE,
18860123,2859930,0,Not Applicable,NONE (NO BIAS),,,1,FALSE,,,,,,V,,,,FALSE,,,2617,CRIMINAL TRESPASSING-3RD DEGREE,,,TRUE,,,,FALSE,FALSE,
18860123,2859929,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,2695,GIVING OFFICER FALSE NAME OR ADDRESS,,,TRUE,,,,FALSE,FALSE,
18865510,2861218,0,Not Applicable,UNKNOWN (MOTIVATION NOT KNOWN),,B,1,FALSE,,,,,,M,,,,FALSE,,,1403,CRIMINAL MISCHIEF 3RD DEGREE,,FALSE,TRUE,,,,FALSE,FALSE,
18867090,2861429,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,42330,POSS OF MARIJUANA,,FALSE,TRUE,,,,FALSE,FALSE,
18867090,2861428,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,199,FLEEING OR EVADING POLICE 2ND DEGREE (ON FOOT),,FALSE,TRUE,,,,FALSE,FALSE,
18873101,2863138,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,42330,POSS OF MARIJUANA,,,TRUE,,,,FALSE,FALSE,
18873101,2863136,0,Not Applicable,NONE (NO BIAS),,,1,FALSE,,,,,,V,,,,FALSE,,,424,NO REGISTRATION PLATES,,,TRUE,,,,FALSE,FALSE,
18873101,2863137,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,482,FAILURE OF NON-OWNER OPERATOR TO MAINTAIN REQ INS/SEC 1ST OFF,,,TRUE,,,,FALSE,FALSE,
18873207,2863183,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,Plot,,,FALSE,,,23935,TBUT OR DISP SHOPLIFTING U/$500,,FALSE,TRUE,FALSE,,,FALSE,FALSE,
18873208,2863184,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,Plot,,,FALSE,,,23935,TBUT OR DISP SHOPLIFTING U/$500,,FALSE,TRUE,FALSE,,,FALSE,FALSE,
18873209,2863187,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,42081,DRUG PARAPHERNALIA - BUY/POSSESS,,FALSE,TRUE,,,,FALSE,FALSE,
18873209,2863185,0,Not Applicable,NONE (NO BIAS),,,1,FALSE,,,,,,V,,,,FALSE,,,470,POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED,,FALSE,TRUE,,,,FALSE,FALSE,
18873209,2863186,0,Not Applicable,NONE (NO BIAS),,D,1,FALSE,,,,,,F,,,,FALSE,,,42215,POSS CONT SUB 1ST DEG 1ST OFF (METHAMPHETAMINE),,FALSE,TRUE,,,,FALSE,FALSE,
18873211,2863189,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,799,ASSAULT 4TH DEGREE (CHILD ABUSE),,FALSE,TRUE,,,,FALSE,FALSE,
18873213,2863191,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,798,ASSAULT 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,,FALSE,TRUE,,,,FALSE,FALSE,
18873213,2863192,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,2606,UNLAWFUL IMPRISONMENT - 2ND DEGREE,,FALSE,TRUE,,,,FALSE,FALSE,
18873313,2863202,0,Not Applicable,UNKNOWN (MOTIVATION NOT KNOWN),,,1,FALSE,,,,,,V,,,,FALSE,,,424,NO REGISTRATION PLATES,,FALSE,TRUE,,,,FALSE,FALSE,
18873313,2863203,0,Not Applicable,UNKNOWN (MOTIVATION NOT KNOWN),,B,1,FALSE,,,,,,M,,,,FALSE,,,42330,POSS OF MARIJUANA,,FALSE,TRUE,,,,FALSE,FALSE,
18873975,2863368,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,441,WANTON ENDANGERMENT-2ND DEGREE,,,TRUE,,,,FALSE,FALSE,
18873975,2863366,0,Not Applicable,NONE (NO BIAS),,,2,FALSE,,,,,,V,,,,FALSE,,,506,FAILURE TO USE CHILD RESTRAINT DEVICE IN VEHICLE,,,TRUE,,,,FALSE,FALSE,
18873975,2863364,0,Not Applicable,NONE (NO BIAS),,,1,FALSE,,,,,,V,,,,FALSE,,,470,POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED,,,TRUE,,,,FALSE,FALSE,
18873975,2863367,0,Not Applicable,NONE (NO BIAS),,,1,FALSE,,,,,,V,,,,FALSE,,,131,FAILURE TO ILLUMINATE HEAD LAMPS,,,TRUE,,,,FALSE,FALSE,
18873975,2863365,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,2109,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC. .08 (AGG CIRCUM) 1ST OFF,,,TRUE,,,,FALSE,FALSE,
18877067,2864201,0,Not Applicable,NONE (NO BIAS),,D,1,FALSE,,,,,,F,,,,FALSE,,,23917,TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10000,,FALSE,TRUE,FALSE,,,FALSE,FALSE,
18877067,2864202,0,Not Applicable,NONE (NO BIAS),,D,1,FALSE,,,,,,F,,,,FALSE,,,1401,CRIMINAL MISCHIEF 1ST DEGREE,,FALSE,TRUE,,,,FALSE,FALSE,
18885854,2865951,0,Not Applicable,UNKNOWN (MOTIVATION NOT KNOWN),,A,1,FALSE,,,,,,M,,,,FALSE,,,822,TERRORISTIC THREATENING 3RD DEGREE,,FALSE,TRUE,,,,FALSE,FALSE,
18885855,2865952,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,TRUE,,TRUE,PADUCAH MIDDLE,MIDDLE SCHOOL,42330,POSS OF MARIJUANA,,FALSE,TRUE,,,,FALSE,FALSE,
18885869,2865969,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,24002,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500,,FALSE,TRUE,FALSE,,,FALSE,FALSE,
18885871,2865971,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,796,ASSAULT 4TH DEGREE (MINOR INJURY),,FALSE,TRUE,,,,FALSE,FALSE,
18886818,2866187,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,23935,TBUT OR DISP SHOPLIFTING U/$500,,,TRUE,FALSE,,,FALSE,FALSE,
18886821,2866188,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,798,ASSAULT 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,,,TRUE,,,,FALSE,FALSE,
18888020,2866501,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,2763,VIOLATION OF A KENTUCKY EPO/DVO,,FALSE,TRUE,,,,FALSE,FALSE,
18888280,2866502,0,Not Applicable,UNKNOWN (MOTIVATION NOT KNOWN),,B,1,FALSE,,,,,,M,,,,FALSE,,,42330,POSS OF MARIJUANA,,FALSE,TRUE,,,,FALSE,FALSE,
18888280,2866503,0,Not Applicable,UNKNOWN (MOTIVATION NOT KNOWN),,A,1,FALSE,,,,,,M,,,,FALSE,,,42081,DRUG PARAPHERNALIA - BUY/POSSESS,,FALSE,TRUE,,,,FALSE,FALSE,
18890423,2867017,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,42081,DRUG PARAPHERNALIA - BUY/POSSESS,,,TRUE,,,,FALSE,FALSE,
18890423,2867016,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,42330,POSS OF MARIJUANA,,,TRUE,,,,FALSE,FALSE,
18892629,2867454,0,Not Applicable,NONE (NO BIAS),,D,1,FALSE,,,,,,F,,,,FALSE,,,13123,ASSAULT 3RD DEGREE (SCHOOL EMPLOYEE OR SCHOOL VOLUNTEER),,FALSE,TRUE,,,,FALSE,FALSE,
18893756,2867700,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,23935,TBUT OR DISP SHOPLIFTING U/$500,,,TRUE,FALSE,,,FALSE,FALSE,
18893873,2867720,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,23935,TBUT OR DISP SHOPLIFTING U/$500,,FALSE,TRUE,FALSE,,,FALSE,FALSE,
18893873,2867718,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,798,ASSAULT 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,,FALSE,TRUE,,,,FALSE,FALSE,
18893873,2867719,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,822,TERRORISTIC THREATENING 3RD DEGREE,,FALSE,TRUE,,,,FALSE,FALSE,
18893964,2867729,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,23915,TBUT OR DISP ALL OTHERS U/$500,,,TRUE,FALSE,,,FALSE,FALSE,FALSE
18893964,2867728,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,797,ASSAULT 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,,,TRUE,,,,FALSE,FALSE,
18894819,2867921,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,795,ASSAULT 4TH DEGREE (NO VISIBLE INJURY),,FALSE,TRUE,,,,FALSE,FALSE,
18894819,2867920,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,798,ASSAULT 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,,FALSE,TRUE,,,,FALSE,FALSE,
18894820,2867922,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,23935,TBUT OR DISP SHOPLIFTING U/$500,,FALSE,TRUE,FALSE,,,FALSE,FALSE,
18894820,2867923,0,Not Applicable,NONE (NO BIAS),,,1,FALSE,,,,,,V,,,,FALSE,,,2617,CRIMINAL TRESPASSING-3RD DEGREE,,FALSE,TRUE,,,,FALSE,FALSE,
18894821,2867924,0,Not Applicable,NONE (NO BIAS),,D,1,FALSE,,,,,,F,,,,FALSE,,,13120,ASSAULT 3RD DEGREE (EMS FIRE RESCUE SQUAD),,FALSE,TRUE,,,,FALSE,FALSE,
18894822,2867927,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,42081,DRUG PARAPHERNALIA - BUY/POSSESS,,FALSE,TRUE,,,,FALSE,FALSE,
18894822,2867926,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,42330,POSS OF MARIJUANA,,FALSE,TRUE,,,,FALSE,FALSE,
18894822,2867925,0,Not Applicable,NONE (NO BIAS),,,1,FALSE,,,,,,V,,,,FALSE,,,424,NO REGISTRATION PLATES,,FALSE,TRUE,,,,FALSE,FALSE,
18897971,2868631,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,803,MENACING,,FALSE,TRUE,,,,FALSE,FALSE,
18897972,2868632,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,Arrest,,,FALSE,,,23915,TBUT OR DISP ALL OTHERS U/$500,,FALSE,TRUE,FALSE,,,FALSE,FALSE,
18897975,2868635,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,23935,TBUT OR DISP SHOPLIFTING U/$500,,,TRUE,FALSE,,,FALSE,FALSE,
18897976,2868636,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,798,ASSAULT 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,,,TRUE,,,,FALSE,FALSE,
18897981,2868638,0,Not Applicable,NONE (NO BIAS),,D,1,FALSE,,,,,,F,,,,FALSE,,,23931,TBUT OR DISP SHOPLIFTING $500 OR MORE BUT U/$10000,,,TRUE,FALSE,,,FALSE,FALSE,
18899894,2869148,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,1403,CRIMINAL MISCHIEF 3RD DEGREE,,,TRUE,,,,FALSE,FALSE,
18899896,2869150,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,2763,VIOLATION OF A KENTUCKY EPO/DVO,,,TRUE,,,,FALSE,FALSE,
18900329,2869259,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,1403,CRIMINAL MISCHIEF 3RD DEGREE,,FALSE,TRUE,,,,FALSE,FALSE,
18900329,2869258,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,2407,HARASSMENT - PHYSICAL CONTACT - NO INJURY,,FALSE,TRUE,,,,FALSE,FALSE,
18900419,2869265,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,Arrest,,,FALSE,,,822,TERRORISTIC THREATENING 3RD DEGREE,,,TRUE,,,,FALSE,FALSE,
18900626,2869294,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,23915,TBUT OR DISP ALL OTHERS U/$500,,FALSE,TRUE,FALSE,,,FALSE,FALSE,
18902538,2869998,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,23975,TBUT OR DISP BICYCLES U/$500,,FALSE,TRUE,FALSE,,,FALSE,FALSE,
18904383,2870498,0,Not Applicable,NONE (NO BIAS),,D,1,FALSE,,,,,,F,,,,FALSE,,,23931,TBUT OR DISP SHOPLIFTING $500 OR MORE BUT U/$10000,,,TRUE,FALSE,,,FALSE,FALSE,
18904998,2870633,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,701,UNAUTHORIZED USE OF MOTOR VEHICLE-1ST OFFENSE,,FALSE,TRUE,FALSE,,,FALSE,FALSE,
18909740,2872285,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,811,CRIMINAL ABUSE THIRD DEGREE-CHILD 12 OR UNDER,,FALSE,TRUE,,,,FALSE,FALSE,
18909741,2872286,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,23915,TBUT OR DISP ALL OTHERS U/$500,,FALSE,TRUE,FALSE,,,FALSE,FALSE,
18909742,2872288,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,23935,TBUT OR DISP SHOPLIFTING U/$500,,FALSE,TRUE,FALSE,,,FALSE,FALSE,
